,guest_count,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,reviews_per_month,average_ratings,clusters,cluster
2356,2,1.0,1.0,95.0,1,1125,17,47,77,5.83,4.991666666666667,0,pink
2357,6,2.5,3.0,290.0,2,1125,23,53,82,1.28,4.948333333333333,0,pink
2358,2,1.0,1.0,53.0,1,4,12,12,12,3.17,4.9750000000000005,2,dark purple
2359,10,2.0,5.0,174.0,2,14,22,51,80,1.54,4.866666666666667,2,dark purple
2360,4,1.0,3.0,190.0,2,10,24,54,84,3.12,4.935,2,dark purple
2361,8,2.0,4.0,137.0,1,180,11,37,58,1.77,4.715000000000001,2,dark purple
2362,3,1.0,2.0,282.0,1,1125,19,49,79,0.96,4.654999999999999,0,pink
2363,2,1.0,1.0,65.0,1,44,24,53,83,2.3,4.903333333333333,2,dark purple
2364,2,1.5,1.0,83.0,2,60,20,24,24,3.77,4.985,2,dark purple
2365,4,1.5,2.0,255.0,2,45,28,58,88,0.21,5.0,2,dark purple
2366,5,1.0,2.0,160.0,2,1125,5,35,59,2.21,4.793333333333333,0,pink
2367,4,2.0,2.0,115.0,30,1125,0,0,0,0.79,4.853333333333333,0,pink
2368,2,1.0,1.0,84.0,1,1125,0,0,0,6.47,4.968333333333334,0,pink
2369,4,1.0,2.0,200.0,1,30,16,39,52,10.03,4.968333333333334,2,dark purple
2370,2,2.0,2.0,98.0,30,90,0,0,0,0.53,5.0,2,dark purple
2371,6,1.0,2.0,70.0,2,45,17,47,50,3.37,4.904999999999999,2,dark purple
2372,2,1.0,1.0,143.0,1,365,24,53,83,4.0,4.5,1,purple
2373,4,1.0,2.0,250.0,1,1125,30,60,90,0.21,4.866666666666666,0,pink
2374,6,2.5,3.0,261.0,1,1125,27,57,87,2.18,5.0,0,pink
2375,4,1.0,2.0,84.0,29,90,0,28,58,4.65,4.931666666666667,2,dark purple
2376,8,1.0,5.0,244.0,1,30,0,0,0,7.5,4.861666666666667,2,dark purple
2377,8,4.0,4.0,914.0,3,31,28,58,88,0.39,5.0,2,dark purple
2378,2,1.0,1.0,158.0,1,365,23,44,62,4.7,4.87,1,purple
2379,2,1.0,1.0,34.0,1,90,28,58,88,1.71,4.409999999999999,2,dark purple
2380,8,2.0,4.0,309.0,2,180,27,57,87,2.81,4.846666666666668,2,dark purple
2381,3,1.0,2.0,71.0,29,365,30,60,90,0.33,4.723333333333334,1,purple
2382,2,1.0,1.0,93.0,1,365,21,51,81,2.78,4.816666666666666,1,purple
2383,1,2.0,2.0,45.0,100,180,0,0,0,0.04,4.833333333333333,2,dark purple
2384,4,1.0,2.0,212.0,30,360,12,25,25,5.95,4.991666666666666,1,purple
2385,4,2.0,2.0,188.0,1,731,21,51,81,1.88,4.691666666666666,1,purple
2386,1,1.0,2.0,20.0,1,90,17,47,77,2.62,4.636666666666668,2,dark purple
2387,2,1.0,1.0,100.0,29,30,29,59,89,2.47,4.836666666666666,2,dark purple
2388,6,3.5,3.0,451.0,2,1125,20,50,73,0.76,4.953333333333333,0,pink
2389,2,1.0,2.0,60.0,2,14,11,22,42,4.23,4.890000000000001,2,dark purple
2390,4,3.0,2.0,145.0,2,30,9,9,9,1.49,4.988333333333333,2,dark purple
2391,4,1.0,2.0,158.0,2,1125,0,0,0,1.46,4.99,0,pink
2392,8,3.5,4.0,328.0,2,1125,16,39,62,1.56,4.885,0,pink
2393,4,2.0,2.0,152.0,30,60,0,1,21,0.53,4.951666666666667,2,dark purple
2394,4,1.0,2.0,189.0,2,1125,15,29,29,2.81,4.95,0,pink
2395,4,1.0,1.0,131.0,1,90,26,56,86,1.5,4.93,2,dark purple
2396,4,1.0,2.0,70.0,29,29,24,27,39,0.18,5.0,2,dark purple
2397,4,1.0,2.0,97.0,1,180,27,57,87,2.49,4.886666666666667,2,dark purple
2398,3,2.5,2.0,200.0,2,28,23,48,78,3.21,4.985,2,dark purple
2399,4,1.0,2.0,95.0,2,29,27,57,87,1.58,4.903333333333333,2,dark purple
2400,2,1.0,1.0,108.0,1,28,11,17,32,1.94,4.971666666666667,2,dark purple
2401,4,1.0,2.0,122.0,2,10,23,43,64,4.23,4.926666666666667,2,dark purple
2402,7,3.0,3.0,545.0,1,33,22,52,82,1.66,4.971666666666667,2,dark purple
2403,2,1.0,2.0,95.0,29,360,9,9,9,1.67,4.926666666666667,1,purple
2404,4,1.0,2.0,122.0,2,14,27,57,87,3.06,4.9816666666666665,2,dark purple
2405,6,4.0,3.0,245.0,1,365,28,58,88,0.0,0.0,1,purple
2406,2,1.0,2.0,95.0,29,65,29,59,89,2.04,4.971666666666667,2,dark purple
2407,6,2.5,3.0,322.0,29,1125,28,58,88,0.92,4.935,0,pink
2408,1,1.0,2.0,39.0,30,1125,30,60,90,0.31,3.3333333333333335,0,pink
2409,4,1.5,1.0,145.0,1,30,0,0,0,3.61,4.888333333333334,2,dark purple
2410,3,1.0,2.0,150.0,30,120,29,59,89,2.18,4.946666666666666,2,dark purple
2411,3,1.0,2.0,53.0,30,120,20,50,80,0.32,4.918333333333334,2,dark purple
2412,4,1.0,2.0,180.0,1,28,17,47,77,4.74,4.9816666666666665,2,dark purple
2413,2,1.0,1.0,66.0,1,365,23,49,74,1.32,4.976666666666667,1,purple
2414,4,1.0,2.0,156.0,2,365,22,47,77,3.0,5.0,1,purple
2415,2,1.5,1.0,77.0,1,14,0,0,0,5.56,4.95,2,dark purple
2416,8,2.5,3.0,236.0,1,29,11,41,71,6.27,5.0,2,dark purple
2417,4,1.0,2.0,177.0,1,365,22,49,77,1.3,4.866666666666666,1,purple
2418,3,1.0,2.0,63.0,30,90,5,35,43,0.0,0.0,2,dark purple
2419,8,3.5,4.0,534.0,1,1125,28,58,83,1.3,4.89,0,pink
2420,6,2.0,2.0,169.0,1,280,18,46,76,0.29,4.666666666666667,1,purple
2421,2,1.0,1.0,92.0,1,8,19,49,79,7.92,4.976666666666667,2,dark purple
2422,4,1.0,3.0,144.0,29,90,6,6,25,0.27,4.916666666666667,2,dark purple
2423,10,2.5,4.0,400.0,2,29,29,59,89,1.38,4.796666666666666,2,dark purple
2424,4,1.0,2.0,131.0,1,29,27,57,87,4.86,4.971666666666667,2,dark purple
2425,4,2.0,2.0,187.0,31,1125,0,0,0,0.06,3.1666666666666665,0,pink
2426,3,1.0,2.0,148.0,2,12,21,45,69,1.22,4.976666666666667,2,dark purple
2427,2,2.0,2.0,88.0,30,90,25,55,85,0.0,0.0,2,dark purple
2428,3,2.0,1.0,150.0,2,365,13,23,23,1.88,4.953333333333333,1,purple
2429,2,1.0,1.0,55.0,30,365,15,45,75,1.86,4.83,1,purple
2430,4,1.0,1.0,350.0,1,365,30,56,86,0.0,0.0,1,purple
2431,5,1.0,4.0,176.0,3,29,6,33,63,1.64,4.943333333333333,2,dark purple
2432,6,3.0,3.0,525.0,4,31,11,15,21,0.65,5.0,2,dark purple
2433,2,1.0,2.0,153.0,2,14,0,0,0,2.46,4.966666666666667,2,dark purple
2434,4,1.0,1.0,145.0,2,365,0,0,0,3.78,4.678333333333334,1,purple
2435,6,2.0,2.0,225.0,29,1125,0,0,0,2.81,4.898333333333333,0,pink
2437,6,2.0,3.0,136.0,2,90,1,1,1,1.26,4.953333333333333,2,dark purple
2438,7,2.5,3.0,206.0,1,15,0,0,0,5.46,4.663333333333333,2,dark purple
2439,2,1.0,2.0,121.0,1,1125,17,47,77,2.82,4.944999999999999,0,pink
2440,4,2.0,2.0,248.0,2,21,0,3,3,0.86,4.81,2,dark purple
2441,8,4.5,6.0,321.0,3,7,0,0,0,0.19,4.988333333333333,2,dark purple
2442,8,4.5,4.0,164.0,30,180,0,0,25,0.73,4.833333333333333,2,dark purple
2443,2,1.0,1.0,84.0,2,10,0,0,0,2.64,4.968333333333334,2,dark purple
2444,2,2.0,1.0,159.0,30,365,30,60,90,0.0,0.0,1,purple
2445,6,2.5,3.0,596.0,2,1125,3,6,6,1.87,4.968333333333334,0,pink
